# Agent-assisted review of derived_client_alias_index, full-corpus rebuild, 2026-07-06.
# Covers the 1,826 entities newly surfaced after fixing two bugs in
# build_derived_client_alias_index.py: (1) income lookup keyed on the wrong
# senate_clients column (client_id vs id), which undercounted most entities'
# income and shrank the >=$1M threshold set to 525 instead of the true 2,292;
# (2) entities were clustered on the raw normalized name instead of a
# suffix-stripped core key, so "X Corporation" and "X" (same company) could
# land in separate entities (e.g. Norfolk Southern split $4.71M into two
# clusters before the fix). This file is the second review pass, covering
# only the ~1,826 entities not already reviewed in agent_review_2026-07-06.txt
# (the original 525-entity pass, reused rather than re-run to save tokens).
# Produced by 20 batched general-purpose Agent tool launches (not raw API
# calls). Applied via scripts/apply_client_alias_llm_review.py. Format:
# entity_id|canonical_name|additional_aliases (;-sep or NONE)|generic_flag|reason
1|1-800 CONTACTS, INC.|1-800 CONTACTS;1800CONTACTS|false|distinctive consumer brand name
2|21ST CENTURY PRIVACY COALITION|NONE|true|generic advocacy-coalition name
3|2U, INC.|2U|false|distinctive short brand name
4|340B HEALTH|340B|false|distinctive numeric-code-based name
6|5E ADVANCED MATERIALS, INC.|5E Advanced Materials|false|distinctive brand name
7|7 ELEVEN, INC.|7-ELEVEN;7-11|false|distinctive well-known consumer brand
8|908 DEVICES, INC.|908 Devices|false|distinctive brand name
9|A.O. SMITH CORPORATION|AO Smith|false|distinctive brand name
10|AARP, INC.|AARP|false|distinctive well-known acronym brand
11|ABBOTT|NONE|true|common surname/place-name collision risk
12|ABBOTT (FORMERLY KNOWN AS ALERE INC.)|NONE|true|same surname/place-name collision risk as plain Abbott
13|ABBOTT LABORATORIES|Abbott Labs|false|full name distinctive
14|ABBVIE, INC.|AbbVie|false|distinctive coined brand name
15|ABSOLUTE SOFTWARE CORPORATION|NONE|false|distinctive combination
16|ACA CONNECTS - AMERICA'S COMMUNICATION ASSOCIATION|NONE|true|ACA acronym collides with Affordable Care Act
17|ACA INTERNATIONAL|NONE|true|ACA acronym collides with Affordable Care Act
18|ACADEMY OF MANAGED CARE PHARMACY|AMCP|false|distinctive full name/acronym
19|ACADIA HEALTHCARE COMPANY, INC.|NONE|false|distinctive enough, distinguishable from Acadia Pharma
20|ACADIA PHARMACEUTICALS, INC.|NONE|false|distinctive
22|ACCENTURE, LLP|Accenture|false|distinctive well-known brand
23|ACCENTURE FEDERAL SERVICES LLC|Accenture Federal Services|false|distinctive full name
24|ACG ADVOCACY ON BEHALF OF RELX INC.|RELX|false|RELX distinctive brand name
25|ACORN CONSULTING OBO SHELL USA INC.|NONE|true|Shell alone is a common word
26|ACP TECHNOLOGIES, LLC|NONE|false|distinctive enough
28|ACTIVEHOURS INC., D/B/A EARNIN|EarnIn|false|distinctive brand name
30|ACXIOM LLC|Acxiom|false|distinctive coined brand name
31|ADOBE, INC.|NONE|true|Adobe also a common word/place name element
32|ADOBE SYSTEMS INCORPORATED|NONE|true|same generic-word risk
33|ADP LLC|ADP|false|distinctive well-known acronym brand
34|ADTALEM GLOBAL EDUCATION, INC.|Adtalem|false|distinctive coined brand name
35|ADULT VACCINE ACCESS COALITION|NONE|true|generic advocacy-coalition name
36|ADVANCED BIOFUELS ASSOCIATION|NONE|true|generic trade-association name
38|ADVANCED MEDICAL TECHNOLOGY ASSOCIATION|NONE|true|generic descriptive name despite AdvaMed acronym
40|ADVANCED MICRO DEVICES (AMD)|AMD|false|distinctive well-known brand/acronym
42|ADVANCED TECHNOLOGY INTERNATIONAL|NONE|true|generic descriptive name; ATI acronym collides
43|ADVANCED TECHNOLOGY INTERNATIONAL ON BEHALF OF NATIONAL ARMAMENTS CONSORTIUM|NONE|true|generic descriptive name
46|ADVENTIST HEALTHCARE|NONE|true|Adventist collides with religious denomination coverage
48|AECOM|AECOM|false|distinctive coined brand name
50|AEVEX AEROSPACE, LLC|AEVEX|false|distinctive coined brand name
51|AFFIRM, INC.|NONE|true|Affirm is a common English verb
52|AFFORDABLE HOUSING DEVELOPERS COUNCIL|NONE|true|generic advocacy-coalition name
53|AFFORDABLE HOUSING TAX CREDIT COALITION|NONE|true|generic advocacy-coalition name
54|AFLAC INCORPORATED|Aflac|false|distinctive well-known brand name
58|AGUSTAWESTLAND PHILADELPHIA CORPORATION|AgustaWestland|false|distinctive brand name
59|AICPA|NONE|true|short acronym collision risk
60|AICPA ASSOCIATION OF INTERNATIONAL CERTIFIED PROFESSIONAL ACCOUNTANTS|NONE|true|same AICPA acronym collision risk
61|AIDS HEALTHCARE FOUNDATION|AHF|false|distinctive full name
63|AIR CONDITIONING HEATING & REFRIGERATION INSTITUTE (FKA AIR CONDITIONING AND R)|NONE|true|generic descriptive industry-association name
64|AIR LIQUIDE USA LLC|Air Liquide|false|distinctive well-known brand name
65|AIR METHODS CORPORATION|Air Methods|false|distinctive enough combination
67|AIR SPACE INTELLIGENCE INC.|NONE|true|generic descriptive name
68|AIRBNB, INC.|Airbnb|false|distinctive well-known coined brand name
69|AIRBUS AMERICAS, INC.|Airbus|false|distinctive well-known brand name
70|AIRLINES FOR AMERICA|NONE|true|generic descriptive trade-association name
71|AIRLINES FOR AMERICA (FORMERLY AIR TRANSPORT ASSOCIATION OF AMERICA INC.)|NONE|true|same generic-name collision risk
72|AIRPORTS COUNCIL INTERNATIONAL - NORTH AMERICA|NONE|true|generic descriptive trade-association name
73|AIS HEALTHCARE|NONE|true|AIS short acronym collision risk
74|AITEO GROUP|Aiteo|false|distinctive coined brand name
75|AK CHIN INDIAN COMMUNITY|Ak-Chin|false|distinctive tribal name
76|AKEBIA THERAPEUTICS, INC.|Akebia|false|distinctive coined brand name
77|ALABAMA-COUSHATTA TRIBE OF TEXAS|NONE|false|distinctive tribal name
78|ALASKA AIRLINES, INC.|Alaska Airlines|false|distinctive full name
79|ALASKA RAILROAD CORP|Alaska Railroad|false|distinctive full name
80|ALBERTSONS COMPANIES, INC.|Albertsons|false|distinctive well-known brand name
81|ALCOA CORPORATION|Alcoa|false|distinctive coined brand name
82|ALCON VISION LLC|Alcon|false|distinctive brand name
83|ALDEN TORCH FINANCIAL, LLC|NONE|false|distinctive enough
84|ALEXION PHARMACEUTICALS, INC.|Alexion|false|distinctive coined brand name
85|ALG SENIOR LLC|NONE|true|ALG short acronym collision risk
86|ALIBABA GROUP HOLDING LIMITED|Alibaba|false|distinctive well-known brand name
87|ALKERMES, INC.|Alkermes|false|distinctive coined brand name
89|ALLEGHENY COUNTY AIRPORT AUTHORITY|NONE|false|distinctive full name tied to specific county
90|ALLEGIS, REDWOOD, MAXIM PUBLIC AFFAIRS, LLC|NONE|true|generic-word compound lobbying-shop name
91|ALLIANCE FOR A STRONGER FDA|NONE|true|generic advocacy-coalition name
94|ALLIANCE FOR AMERICAN MANUFACTURING|NONE|true|generic advocacy-coalition name
95|ALLIANCE FOR AUTOMOTIVE INNOVATION|NONE|true|generic trade-association name
96|ALLIANCE FOR BIOPHARMACEUTICAL COMPETITIVENESS AND INNOVATION|NONE|true|generic trade-association name
97|ALLIANCE FOR BIOSECURITY|NONE|true|generic advocacy-coalition name
98|ALLIANCE FOR CONNECTED CARE|NONE|true|generic advocacy-coalition name
99|ALLIANCE FOR DRIVER SAFETY & SECURITY (THE TRUCKING ALLIANCE)|NONE|true|generic advocacy-coalition name
100|ALLIANCE FOR HOME DIALYSIS|NONE|true|generic advocacy-coalition name
