# Agent-assisted review of derived_client_alias_index candidates, 2026-07-06.
# Produced by 6 batched general-purpose Agent tool launches (not raw API calls)
# over the 525 canonical entity names in derived_client_alias_index at build
# time (>= $1M total Senate income threshold). Applied via
# scripts/apply_client_alias_llm_review.py. Format:
# entity_id|canonical_name|additional_aliases (;-sep or NONE)|generic_flag|reason
1|ID.ME, INC.|ID.me|false|distinctive stylized brand name, low collision risk
2|GENENTECH, INC.|NONE|false|distinctive pharma brand name
3|DELFI DIAGNOSTICS|NONE|false|distinctive coined brand name
4|PARSONS CORPORATION|NONE|false|distinctive proper-noun company name
5|TECHNOLOGY NETWORK AKA TECHNET|TechNet|true|"Technology Network" alone reads as a generic phrase; must rely on "TechNet" form
6|GE AEROSPACE|NONE|false|distinctive brand (GE + Aerospace segment name)
7|NETFLIX, INC.|Netflix|false|distinctive globally unique brand name
8|ACTION NOW INITIATIVE, LLC|NONE|true|"Action Now" is a generic-sounding phrase used by many unrelated advocacy/political groups
9|PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA|PhRMA|false|well-known unambiguous abbreviation
10|TARGA RESOURCES|Targa|false|distinctive coined brand name
11|BIOMASS ENERGY SYSTEMS, INC. (BESI)|NONE|true|"BESI" collides with other orgs; base name somewhat generic
12|KIRIL DOMUSCHIEV AND GEORGI DOMUSCHIEV|Kiril Domuschiev;Georgi Domuschiev|false|distinctive personal names
13|FLANDREAU SANTEE SIOUX TRIBE|NONE|false|distinctive specific tribal name
14|ALASKA AIRLINES|NONE|false|distinctive well-known brand
15|WAYNE FARMS, LLC|NONE|true|"Wayne" collides with places/other entities
16|MOTOROLA SOLUTIONS, INC.|Motorola|false|distinctive well-known brand
17|TAXBIT INC.|TaxBit|false|distinctive coined brand name
18|VITOL INC.|Vitol|false|distinctive coined brand name
19|ALLIANCE FOR REGENERATIVE MEDICINE|NONE|true|natural acronym ARM collides heavily
20|IQVIA HOLDINGS, INC.|IQVIA|false|distinctive coined brand name
21|CNX RESOURCES CORPORATION|CNX|false|distinctive stock-ticker-style brand
22|ALLIANCE TO MODERNIZE PRESCRIBING INFORMATION|NONE|true|generic descriptive coalition name
23|UNIVERSAL TECHNICAL INSTITUTE|NONE|true|generic-sounding; UTI acronym collides with medical term
